eps,min_samples,sil,db,ch,dataset
0.039,3,-0.12942525374255356,1.1349130996337955,13.583712883979592,blobs
0.039,5,-0.4702012997476851,1.1273641755833048,11.094179996036438,blobs
0.039,8,-0.637788718848422,1.2998184115884956,9.484956095658042,blobs
0.042,3,-0.11675392059671198,1.1704285892230115,19.059572293970657,blobs
0.042,5,-0.3838034262730773,1.095342734838255,14.549938000819138,blobs
0.042,8,-0.7195721638006858,1.2811032521719534,10.909552835165487,blobs
0.045,3,-0.0651217810958476,1.1887050908210846,22.745104895288293,blobs
0.045,5,-0.31321715823872753,1.1142338918178634,17.680165538077567,blobs
0.045,8,-0.6797688727813324,1.2283054892289904,13.505741274236977,blobs
0.047,3,-0.0670715077646587,1.1892676771367494,27.802004639675673,blobs
0.047,5,-0.27562599486271744,1.1141558974734502,19.481198662997144,blobs
0.047,8,-0.6290512201522062,1.208713811198763,12.161485961928436,blobs
0.05,3,-0.0635574945388517,1.186563663333559,38.63533789829682,blobs
0.05,5,-0.21164915764082323,1.1197634208086131,28.362184378982946,blobs
0.05,8,-0.5434047652233606,1.2273323022254221,13.668153699194972,blobs
0.064,3,-0.07549750080536052,1.2523761804788052,100.28556940416523,blobs
0.064,5,-0.0407315170554663,1.1965611768651787,106.22349729646515,blobs
0.064,8,-0.2698408860674207,1.1342822900997236,40.392667016595276,blobs
0.078,3,0.0004950880446155892,1.3140907101910337,259.8849223659043,blobs
0.078,5,0.06826177940323125,1.4362336613994344,273.64171412673375,blobs
0.078,8,0.07590982432056906,1.2530154428948457,172.49237166251936,blobs
0.091,3,0.3203396699849856,1.379080898137787,888.210330464295,blobs
0.091,5,0.25312845008060075,1.3243218282320262,490.2813695206967,blobs
0.091,8,0.349304398061444,1.5187886993764614,418.46112414873403,blobs
0.105,3,0.35322023688520054,1.3702117246347332,1160.3051072504295,blobs
0.105,5,0.5229051630755869,1.4747410585744527,1197.1816533839794,blobs
0.105,8,0.42870442890836996,1.3462410807305352,629.951520287227,blobs
0.052,3,-0.0173929717660654,1.228038018220301,15.39253545290554,moons
0.052,5,-0.43321459747342766,1.2770616416795277,10.669364898866396,moons
0.052,8,0.02887382436283646,0.8119218372718026,11.353925497482235,moons
0.055,3,0.02991182637884279,1.249330996941041,20.96714988798678,moons
0.055,5,-0.3381695360644716,1.2784072619741629,11.314909329041612,moons
0.055,8,-0.15594820034552107,0.9379695085955647,14.555859178072502,moons
0.059,3,0.060121509675540176,1.2834930594727265,27.218088849760964,moons
0.059,5,-0.2531905753764343,1.2930211618158245,13.685015631409673,moons
0.059,8,-0.23022226573815843,1.0421421882400201,12.702863834263308,moons
0.062,3,0.07269174266463374,1.228257630734569,37.57948758519752,moons
0.062,5,-0.17957982111393794,1.284923081268732,16.504044658176166,moons
0.062,8,-0.5401675325688854,1.0004406944706072,11.897457691513894,moons
0.065,3,0.08919425214468396,1.228267349890735,50.20841724209877,moons
0.065,5,-0.08979734290951821,1.3682655210125738,18.792781885625946,moons
0.065,8,-0.5175948473427877,1.0303480525168365,12.830570222781118,moons
0.076,3,-0.05496608220063008,1.4085354776432133,121.41968096888617,moons
0.076,5,-0.010260917044077389,1.401469772870818,63.4851918849674,moons
0.076,8,-0.3309254730266591,1.2915767272579173,19.43039030229743,moons
0.087,3,-0.02630854064547125,1.779505416848373,160.54368156752952,moons
0.087,5,0.11840936582963452,1.5260476278449924,165.0448871615937,moons
0.087,8,-0.03401796498153882,1.3469688159903346,41.95816402646802,moons
0.098,3,0.07562520368094716,2.3155276152581754,221.2167298838641,moons
0.098,5,0.07232621521539469,1.8897205302275768,226.78480594775297,moons
0.098,8,0.07718542239774998,1.3660872833635642,118.26129562548319,moons
0.109,3,0.04973467044717495,2.073829987471912,226.95332360187388,moons
0.109,5,0.035752461342769035,3.209357823893368,231.12665193732792,moons
0.109,8,0.17486266490314722,1.7516526756143307,290.60985612928926,moons
0.061,3,-0.02500920858263288,1.3263875226546802,9.811609426078624,circles
0.061,5,-0.3955277298974987,1.4512635031421606,6.333916245129471,circles
0.061,8,-0.5078578079544733,1.6021095098466953,3.0417514927598135,circles
0.065,3,-0.035757113865859315,1.2918896628596903,12.991051755299583,circles
0.065,5,-0.3227677557978179,1.4555509192982525,7.010119627577739,circles
0.065,8,-0.5044352152345679,1.6040092597858633,3.200083860090091,circles
0.069,3,0.023320207685817104,1.2515592095543944,16.536474575200305,circles
0.069,5,-0.2811230120902198,1.4588771636139413,8.261081853047292,circles
0.069,8,-0.5051778526112978,1.4983715821480554,4.918636906413663,circles
0.073,3,0.02516654987986497,1.2375523316031882,20.98276470762083,circles
0.073,5,-0.19901414945953008,1.3323450954236167,11.088629416072148,circles
0.073,8,-0.463872759740628,1.5395164481419519,6.425207733888255,circles
0.077,3,0.07909468326991466,1.2401246400202062,31.747380383418744,circles
0.077,5,-0.11999824755834342,1.2785519092846303,15.666578974039783,circles
0.077,8,-0.44791434434728106,1.569256718921848,7.07190617428293,circles
0.09,3,-0.014622910555742538,1.2345417712782125,57.6940267231238,circles
0.09,5,0.015959391892376478,1.282289562120651,29.928740967828585,circles
0.09,8,-0.2360275964236257,1.6569816985812382,11.21931153427773,circles
0.104,3,0.0026943969613663797,1.7723100197732446,58.070297227059136,circles
0.104,5,-0.041686112777398796,2.1346720048757817,35.70012647614377,circles
0.104,8,-0.04647368706701409,1.5136335442723656,22.996754431798642,circles
0.117,3,0.03325804372035023,1.8652933829318181,125.6649948811695,circles
0.117,5,0.04270848415351867,4.0361105233047265,69.2291450530904,circles
0.117,8,-0.16112689163780772,1.886543006507542,26.67225129242143,circles
0.13,3,0.09207254355007706,1.788294292572371,193.95270909642122,circles
0.13,5,0.0871977920204505,3.3844736889152998,128.82737244409296,circles
0.13,8,-0.08064549347801143,1.6794713286723628,36.99625443833038,circles
